,Time stamp,Value[mm]
3541,2021-11-03T19:45:00Z,0.0
6928,2021-11-03T00:00:00Z,0.0
9161,2021-11-03T00:15:00Z,0.0
11509,2021-11-03T00:30:00Z,0.0
13951,2021-11-03T00:45:00Z,0.0
16552,2021-11-03T01:00:00Z,0.0
19684,2021-11-03T01:15:00Z,0.0
22120,2021-11-03T01:30:00Z,0.0
24550,2021-11-03T01:45:00Z,0.0
27241,2021-11-03T02:00:00Z,0.0
30402,2021-11-03T02:15:00Z,0.0
32919,2021-11-03T02:30:00Z,0.0
35467,2021-11-03T02:45:00Z,0.0
38097,2021-11-03T03:00:00Z,0.0
41197,2021-11-03T03:15:00Z,0.0
44070,2021-11-03T03:30:00Z,0.0
46541,2021-11-03T03:45:00Z,0.0
49475,2021-11-03T04:00:00Z,0.0
57187,2021-11-03T04:15:00Z,0.0
62738,2021-11-03T04:30:00Z,0.0
74494,2021-11-03T04:45:00Z,0.0
79308,2021-11-03T05:00:00Z,0.0
82694,2021-11-03T05:15:00Z,0.0
86914,2021-11-03T05:30:00Z,0.0
96275,2021-11-03T06:00:00Z,0.0
101630,2021-11-03T05:45:00Z,0.0
104178,2021-11-03T06:15:00Z,0.0
110147,2021-11-03T06:30:00Z,0.0
115869,2021-11-03T06:45:00Z,0.0
119254,2021-11-03T07:00:00Z,0.0
126001,2021-11-03T07:30:00Z,0.0
128649,2021-11-03T07:45:00Z,0.0
131565,2021-11-03T08:00:00Z,0.0
135212,2021-11-03T08:15:00Z,0.0
138042,2021-11-03T08:30:00Z,0.0
140936,2021-11-03T08:45:00Z,0.0
144141,2021-11-03T09:00:00Z,0.0
150167,2021-11-03T09:15:00Z,0.0
155677,2021-11-03T09:30:00Z,0.0
158369,2021-11-03T09:45:00Z,0.0
161331,2021-11-03T10:00:00Z,0.0
164498,2021-11-03T10:15:00Z,0.0
166845,2021-11-03T10:30:00Z,0.0
169365,2021-11-03T10:45:00Z,0.0
171771,2021-11-03T11:00:00Z,0.0
174476,2021-11-03T11:15:00Z,0.0
178016,2021-11-03T11:30:00Z,0.0
180516,2021-11-03T11:45:00Z,0.0
183768,2021-11-03T12:00:00Z,0.0
190060,2021-11-03T12:15:00Z,0.0
192876,2021-11-03T12:30:00Z,0.0
195241,2021-11-03T12:45:00Z,0.0
197665,2021-11-03T13:00:00Z,0.0
200544,2021-11-03T13:15:00Z,0.0
202978,2021-11-03T13:30:00Z,0.0
205577,2021-11-03T13:45:00Z,0.0
207923,2021-11-03T14:00:00Z,0.0
211144,2021-11-03T14:15:00Z,0.0
213421,2021-11-03T14:30:00Z,0.0
215746,2021-11-03T14:45:00Z,0.0
218713,2021-11-03T15:00:00Z,0.0
236602,2021-11-03T15:15:00Z,0.0
239170,2021-11-03T15:30:00Z,0.0
241658,2021-11-03T15:45:00Z,0.0
244859,2021-11-03T16:00:00Z,0.0
254344,2021-11-03T16:15:00Z,0.0
260955,2021-11-03T16:30:00Z,0.0
263971,2021-11-03T16:45:00Z,0.0
266989,2021-11-03T17:00:00Z,0.0
270329,2021-11-03T17:15:00Z,0.2
273164,2021-11-03T17:30:00Z,0.4
276102,2021-11-03T17:45:00Z,0.2
278732,2021-11-03T18:00:00Z,0.0
291185,2021-11-03T18:15:00Z,0.0
294739,2021-11-03T18:30:00Z,0.0
298297,2021-11-03T18:45:00Z,0.0
302766,2021-11-03T19:00:00Z,0.0
306213,2021-11-03T19:15:00Z,0.0
308716,2021-11-03T19:30:00Z,0.0
312110,2021-11-03T21:15:00Z,0.0
315876,2021-11-03T20:15:00Z,0.0
317993,2021-11-03T21:00:00Z,0.0
318863,2021-11-03T20:45:00Z,0.0
322368,2021-11-03T20:00:00Z,0.0
328107,2021-11-03T20:30:00Z,0.0
330142,2021-11-03T21:30:00Z,0.0
333004,2021-11-03T22:30:00Z,0.0
334706,2021-11-03T22:00:00Z,0.0
335600,2021-11-03T22:15:00Z,0.0
338924,2021-11-03T21:45:00Z,0.0
344093,2021-11-03T22:45:00Z,0.0
347161,2021-11-03T23:00:00Z,0.0
351286,2021-11-03T23:15:00Z,0.0
353785,2021-11-03T23:30:00Z,0.0
356243,2021-11-03T23:45:00Z,0.0
2062,2021-11-04T00:00:00Z,0.0
4216,2021-11-04T00:15:00Z,0.0
6537,2021-11-04T00:30:00Z,0.0
9019,2021-11-04T00:45:00Z,0.0
11649,2021-11-04T01:00:00Z,0.0
14845,2021-11-04T01:15:00Z,0.0
17404,2021-11-04T01:30:00Z,0.0
19867,2021-11-04T01:45:00Z,0.0
22446,2021-11-04T02:00:00Z,0.0
25443,2021-11-04T02:15:00Z,0.0
27979,2021-11-04T02:30:00Z,0.0
30516,2021-11-04T02:45:00Z,0.0
33116,2021-11-04T03:00:00Z,0.0
36097,2021-11-04T03:15:00Z,0.0
38600,2021-11-04T03:30:00Z,0.0
41086,2021-11-04T03:45:00Z,0.0
44102,2021-11-04T04:00:00Z,0.0
52315,2021-11-04T04:15:00Z,0.0
57832,2021-11-04T04:30:00Z,0.0
70084,2021-11-04T04:45:00Z,0.0
75139,2021-11-04T05:00:00Z,0.0
78439,2021-11-04T05:15:00Z,0.0
82800,2021-11-04T05:30:00Z,0.0
87926,2021-11-04T05:45:00Z,0.0
91755,2021-11-04T06:00:00Z,0.0
100094,2021-11-04T06:15:00Z,0.0
105895,2021-11-04T06:30:00Z,0.0
111305,2021-11-04T06:45:00Z,0.0
114960,2021-11-04T07:00:00Z,0.0
121781,2021-11-04T07:30:00Z,0.0
122483,2021-11-04T07:15:00Z,0.0
124516,2021-11-04T07:45:00Z,0.0
127544,2021-11-04T08:00:00Z,0.0
131030,2021-11-04T08:15:00Z,0.0
133564,2021-11-04T08:30:00Z,0.0
136399,2021-11-04T08:45:00Z,0.0
139784,2021-11-04T09:00:00Z,0.2
145296,2021-11-04T09:15:00Z,0.0
151231,2021-11-04T09:30:00Z,0.0
154018,2021-11-04T09:45:00Z,0.0
157191,2021-11-04T10:00:00Z,0.0
160637,2021-11-04T10:15:00Z,0.0
163296,2021-11-04T10:30:00Z,0.0
165799,2021-11-04T10:45:00Z,0.0
168619,2021-11-04T11:00:00Z,0.0
171971,2021-11-04T11:15:00Z,0.0
174875,2021-11-04T11:30:00Z,0.0
177413,2021-11-04T11:45:00Z,0.0
181139,2021-11-04T12:00:00Z,0.0
188066,2021-11-04T12:15:00Z,0.0
191348,2021-11-04T12:30:00Z,0.0
199101,2021-11-04T13:15:00Z,0.0
200733,2021-11-04T12:45:00Z,0.0
200803,2021-11-04T13:00:00Z,0.0
202891,2021-11-04T13:30:00Z,0.0
205590,2021-11-04T13:45:00Z,0.0
208172,2021-11-04T14:00:00Z,0.0
211580,2021-11-04T14:15:00Z,0.0
214347,2021-11-04T14:30:00Z,0.0
